unique_id,gender,hold racket handed
2158,0.9439,0.337
2159,0.5383,0.947
2160,0.9545,0.947
2161,0.8097,0.947
2162,0.279,0.929
2163,0.5068,0.947
2164,0.2767,0.934
2165,0.9716,0.947
2166,0.2497,0.947
2167,0.5076,0.947
2168,0.7491,0.34
2169,0.038,0.947
2170,0.273,0.947
2171,0.0135,0.947
2172,0.0995,0.947
2173,0.1868,0.337
2175,0.9428,0.346
2176,0.8366,0.947
2177,0.3318,0.947
2178,0.3701,0.947
2179,0.7094,0.941
2180,0.8622,0.344
2181,0.8386,0.946
2183,0.8862,0.947
2184,0.9516,0.946
2185,0.6472,0.947
2186,0.94,0.347
2187,0.7649,0.947
2188,0.6103,0.947
2189,0.2408,0.947
2190,0.6986,0.947
2191,0.7352,0.34
2192,0.9333,0.947
2193,0.6514,0.947
2194,0.185,0.947
2195,0.4792,0.909
2196,0.7364,0.947
2197,0.9455,0.329
2198,0.1351,0.947
2199,0.7207,0.947
2200,0.7361,0.946
2201,0.9799,0.947
2202,0.0399,0.947
2203,0.268,0.947
2204,0.6061,0.384
2205,0.9386,0.947
2206,0.5163,0.947
2207,0.7539,0.945
2208,0.2877,0.947
2209,0.9379,0.946
2210,0.8612,0.947
2211,0.8308,0.947
2212,0.2683,0.947
2213,0.9847,0.342
2214,0.5127,0.947
2215,0.7924,0.947
2216,0.8729,0.334
2217,0.2537,0.945
2218,0.7922,0.947
2219,0.9233,0.947
2220,0.0479,0.383
2221,0.1257,0.947
2222,0.1429,0.947
2223,0.7458,0.329
2224,0.6216,0.947
2225,0.9129,0.947
2226,0.9284,0.329
2227,0.9293,0.944
2228,0.8139,0.377
2229,0.9364,0.947
2230,0.9761,0.941
2231,0.9008,0.947
2232,0.3941,0.944
2233,0.8653,0.329
2234,0.537,0.947
2235,0.9142,0.906
2236,0.9599,0.946
2237,0.5825,0.947
2238,0.3959,0.927
2239,0.2342,0.947
2240,0.0118,0.899
2241,0.8828,0.947
2243,0.2427,0.947
2244,0.4592,0.947
2245,0.9127,0.367
2246,0.6635,0.943
2247,0.05,0.947
2248,0.7391,0.947
2249,0.8776,0.947
2250,0.7961,0.947
2251,0.1283,0.523
2252,0.9809,0.905
2253,0.1717,0.947
2254,0.0708,0.896
2255,0.8346,0.947
2256,0.6438,0.946
2257,0.2641,0.947
2258,0.9583,0.358
2259,0.6189,0.947
2260,0.5795,0.947
2261,0.3004,0.947
2262,0.3916,0.929
2263,0.8732,0.947
2264,0.239,0.947
2265,0.6006,0.947
2266,0.1764,0.896
2267,0.6559,0.947
2268,0.5771,0.92
2269,0.6217,0.947
2270,0.9869,0.333
2271,0.5559,0.947
2272,0.4531,0.947
2273,0.6915,0.946
2274,0.6521,0.947
2275,0.1484,0.947
2276,0.9335,0.947
2277,0.087,0.947
2278,0.7441,0.356
2279,0.3687,0.947
2280,0.8987,0.371
2281,0.9575,0.337
2282,0.7007,0.947
2283,0.2989,0.947
2284,0.925,0.945
2285,0.822,0.947
2286,0.202,0.893
2287,0.5628,0.906
2288,0.8434,0.947
2289,0.2537,0.947
2290,0.0769,0.409
2291,0.8852,0.945
2292,0.7609,0.947
2293,0.0799,0.852
2294,0.9401,0.341
2295,0.7196,0.947
2296,0.9076,0.947
2297,0.8893,0.947
2298,0.6665,0.947
2299,0.6933,0.947
2300,0.7522,0.947
2301,0.6157,0.947
2302,0.8043,0.947
2303,0.8124,0.947
2304,0.3991,0.946
2305,0.7768,0.329
2307,0.9279,0.337
2308,0.9124,0.337
2309,0.8734,0.947
2310,0.8453,0.929
2311,0.9686,0.381
2312,0.1196,0.947
2313,0.4294,0.947
2314,0.1184,0.947
2315,0.0549,0.947
2316,0.6048,0.947
2317,0.6525,0.947
2318,0.8163,0.947
2319,0.7821,0.947
2320,0.2686,0.947
2321,0.7313,0.947
2322,0.9194,0.946
2323,0.7874,0.947
2324,0.833,0.947
2325,0.0431,0.93
2326,0.9463,0.947
2327,0.8298,0.897
2328,0.8135,0.947
2329,0.019,0.773
2330,0.9623,0.947
2331,0.9141,0.947
2332,0.6998,0.947
2333,0.2573,0.947
2334,0.7546,0.946
2335,0.3337,0.947
2336,0.9348,0.947
2337,0.2731,0.465
2338,0.6567,0.947
2339,0.151,0.947
2340,0.88,0.947
2341,0.8733,0.947
2342,0.9673,0.946
2343,0.8694,0.947
2344,0.0036,0.946
2345,0.6852,0.906
2346,0.8166,0.363
2347,0.6334,0.946
2348,0.2467,0.941
2349,0.4542,0.947
2350,0.8152,0.947
2351,0.937,0.348
2352,0.1102,0.947
2353,0.8454,0.947
2354,0.9316,0.944
2355,0.8463,0.947
2356,0.4756,0.947
2357,0.7205,0.947
2358,0.8629,0.946
2359,0.8763,0.947
2360,0.8171,0.929
2361,0.1272,0.917
2362,0.383,0.947
2363,0.9087,0.947
2364,0.8751,0.947
2365,0.8806,0.946
2366,0.8488,0.947
2367,0.9684,0.333
2368,0.9498,0.947
2369,0.313,0.947
2370,0.928,0.947
2371,0.5871,0.947
2372,0.9741,0.946
2373,0.9346,0.946
2374,0.6024,0.947
2375,0.4036,0.947
2376,0.728,0.947
2377,0.8089,0.947
2378,0.704,0.947
2379,0.8816,0.944
2380,0.8731,0.947
2381,0.1648,0.408
2382,0.8734,0.947
2383,0.1954,0.895
2384,0.8142,0.947
2385,0.4996,0.947
2386,0.9715,0.339
2387,0.0203,0.408
2388,0.5182,0.947
2389,0.2256,0.947
2390,0.292,0.92
2391,0.4261,0.947
2392,0.243,0.947
2393,0.9445,0.947
2394,0.7351,0.947
2395,0.4688,0.947
2396,0.9615,0.947
2397,0.7191,0.947
2398,0.9032,0.947
2399,0.616,0.946
2400,0.9334,0.947
2401,0.1452,0.921
2402,0.9932,0.369
2403,0.9041,0.947
2404,0.9234,0.947
2405,0.2868,0.947
2406,0.9597,0.327
2407,0.8572,0.947
2408,0.9404,0.329
2409,0.8292,0.947
2410,0.0443,0.946
2411,0.506,0.947
2412,0.7786,0.947
2413,0.961,0.338
2414,0.8891,0.947
2415,0.3934,0.947
2416,0.0148,0.65
2417,0.5386,0.947
2418,0.2319,0.947
2419,0.7235,0.947
2420,0.9792,0.946
2421,0.1234,0.917
2422,0.9153,0.947
2423,0.743,0.947
2424,0.2801,0.947
2425,0.096,0.945
2426,0.859,0.944
2427,0.7351,0.41
2429,0.7648,0.931
2430,0.8167,0.945
2431,0.7652,0.947
2432,0.8131,0.947
2433,0.8685,0.947
2434,0.8905,0.947
2435,0.13,0.947
2436,0.9196,0.331
2437,0.2044,0.929
2438,0.2287,0.406
2439,0.743,0.947
2440,0.7459,0.947
2441,0.1128,0.947
2442,0.9708,0.947
2443,0.3844,0.946
2444,0.5252,0.405
2445,0.9117,0.925
2446,0.2981,0.928
2447,0.7063,0.337
2448,0.9338,0.947
2449,0.9293,0.947
2450,0.6579,0.938
2451,0.8325,0.946
2452,0.6098,0.893
2453,0.0793,0.947
2454,0.5403,0.947
2455,0.6239,0.943
2456,0.8421,0.946
2457,0.7456,0.947
2458,0.2861,0.947
2459,0.8842,0.333
2460,0.6357,0.329
2461,0.7924,0.947
2462,0.7765,0.947
2463,0.9495,0.347
2464,0.7533,0.356
2465,0.7704,0.947
2466,0.4441,0.947
2467,0.2715,0.946
2468,0.879,0.947
2469,0.4835,0.947
2470,0.9499,0.947
2471,0.4931,0.947
2472,0.8316,0.947
2473,0.5353,0.947
2474,0.4814,0.947
2475,0.7124,0.947
2476,0.4481,0.947
2477,0.8826,0.947
2478,0.5537,0.947
2479,0.0571,0.92
2480,0.9498,0.947
2481,0.8966,0.947
2482,0.9476,0.329
2483,0.7517,0.947
2484,0.9464,0.947
2485,0.4713,0.403
2486,0.9303,0.339
2487,0.2653,0.337
2488,0.9212,0.947
2489,0.665,0.947
2490,0.763,0.947
2491,0.2394,0.946
2492,0.6476,0.947
2493,0.7983,0.947
2494,0.4475,0.947
2495,0.2906,0.947
2496,0.9132,0.337
2497,0.7267,0.947
2498,0.9148,0.947
2499,0.0216,0.374
2500,0.7266,0.947
2501,0.7756,0.947
2502,0.1489,0.947
2503,0.028,0.946
2504,0.7394,0.947
2505,0.9721,0.947
2506,0.9528,0.355
2507,0.1571,0.94
2508,0.6285,0.942
2509,0.3207,0.929
2510,0.983,0.946
2511,0.2521,0.947
2512,0.6886,0.947
2513,0.6414,0.947
2514,0.1709,0.947
2515,0.8173,0.477
2516,0.4238,0.947
2517,0.9681,0.947
2518,0.9621,0.947
2519,0.8732,0.947
2520,0.1498,0.947
2521,0.4353,0.947
2522,0.8541,0.329
2523,0.8732,0.928
2524,0.7792,0.947
2525,0.6619,0.947
2526,0.9322,0.947
2527,0.5815,0.947
2528,0.7749,0.947
2529,0.9221,0.947
2530,0.8336,0.947
2531,0.221,0.947
2532,0.9531,0.947
2533,0.9597,0.947
2534,0.1315,0.945
2535,0.641,0.947
2536,0.6312,0.947
2537,0.7055,0.449
2538,0.8752,0.946
2539,0.6257,0.345
2540,0.2711,0.947
2541,0.8652,0.947
2542,0.6688,0.943
2543,0.6425,0.922
2544,0.9749,0.347
2545,0.0211,0.946
2546,0.2102,0.947
2547,0.2709,0.947
2548,0.569,0.947
2549,0.9029,0.369
2550,0.126,0.947
2551,0.9734,0.329
2552,0.9528,0.946
2553,0.8235,0.929
2554,0.1289,0.947
2555,0.3695,0.947
2556,0.1768,0.546
2557,0.8497,0.946
2558,0.0064,0.943
2559,0.2894,0.947
2560,0.9316,0.947
2561,0.0141,0.946
2562,0.9842,0.359
2563,0.7958,0.929
2564,0.7378,0.947
2565,0.1995,0.947
2566,0.7509,0.946
2567,0.1948,0.947
2568,0.8179,0.947
2569,0.9106,0.947
2570,0.5506,0.947
2571,0.5573,0.947
2572,0.9484,0.337
2573,0.2525,0.93
2574,0.0368,0.816
2575,0.3738,0.947
2576,0.0393,0.947
2577,0.0225,0.564
2578,0.1976,0.947
2579,0.0937,0.946
2580,0.2581,0.947
2581,0.7671,0.947
2582,0.7419,0.947
2583,0.2324,0.355
2584,0.6398,0.334
2585,0.4932,0.947
2586,0.9173,0.947
2587,0.5455,0.947
2588,0.6938,0.947
2589,0.5653,0.947
2590,0.1797,0.947
2591,0.841,0.947
2592,0.9247,0.327
2593,0.8088,0.945
2594,0.5631,0.939
2595,0.4952,0.947
2596,0.7544,0.947
2597,0.9489,0.355
2598,0.4787,0.946
2599,0.7993,0.386
2600,0.9389,0.331
2601,0.3329,0.946
2602,0.6354,0.947
2603,0.9269,0.329
2604,0.6364,0.947
2605,0.9741,0.502
2606,0.4344,0.947
2607,0.2767,0.349
2608,0.7429,0.342
2609,0.5852,0.947
2610,0.2535,0.947
2611,0.7018,0.399
2612,0.9498,0.945
2613,0.0916,0.347
2614,0.0526,0.947
2615,0.9103,0.947
2616,0.5181,0.943
2617,0.5762,0.946
2618,0.5074,0.906
2619,0.9307,0.947
2620,0.0775,0.947
2621,0.7352,0.929
2622,0.2141,0.947
2623,0.2546,0.929
2624,0.5667,0.947
2625,0.412,0.947
2626,0.3126,0.947
2627,0.6885,0.947
2628,0.5777,0.928
2629,0.0564,0.944
2630,0.9058,0.947
2631,0.5931,0.947
2632,0.6764,0.945
2633,0.5527,0.947
2634,0.887,0.947
2635,0.5905,0.947
2636,0.7462,0.947
2637,0.7403,0.329
2638,0.4397,0.947
2639,0.7149,0.947
2640,0.8864,0.947
2641,0.7961,0.942
2642,0.9624,0.946
2643,0.3704,0.947
2644,0.8421,0.947
2645,0.5082,0.947
2646,0.5245,0.947
2647,0.8129,0.947
2648,0.7766,0.947
2649,0.8889,0.947
2650,0.7161,0.437
2651,0.6283,0.946
2652,0.2832,0.911
2653,0.5065,0.947
2654,0.0581,0.946
2655,0.8315,0.947
2656,0.9541,0.947
2657,0.1342,0.946
2658,0.9392,0.329
2659,0.0914,0.947
2660,0.2798,0.946
2661,0.7438,0.947
2662,0.6922,0.947
2663,0.9207,0.947
2664,0.6877,0.947
2665,0.7167,0.947
2666,0.5434,0.947
2667,0.9005,0.947
2668,0.8193,0.947
2669,0.9695,0.389
2670,0.624,0.947
2671,0.858,0.947
2672,0.9015,0.946
2673,0.9019,0.947
2674,0.7986,0.329
2675,0.4739,0.929
2676,0.7816,0.947
2677,0.9396,0.329
2678,0.0227,0.377
2679,0.231,0.896
2680,0.7493,0.946
2681,0.7569,0.946
2682,0.3932,0.946
2683,0.9206,0.944
2684,0.5661,0.947
2685,0.9661,0.947
2686,0.7944,0.947
2687,0.3026,0.947
2688,0.6801,0.947
2689,0.2908,0.946
2690,0.9748,0.338
2691,0.4043,0.947
2692,0.3156,0.947
2693,0.8546,0.337
2694,0.6559,0.947
2695,0.1346,0.947
2696,0.9444,0.947
2697,0.3764,0.947
2698,0.7134,0.947
2699,0.7287,0.88
2700,0.9075,0.946
2701,0.8378,0.947
2702,0.6004,0.894
2704,0.6043,0.339
2705,0.9867,0.33
2706,0.9127,0.371
2707,0.921,0.331
2708,0.9042,0.947
2709,0.9064,0.947
2710,0.4697,0.947
2711,0.5931,0.947
2712,0.9182,0.35
2713,0.3314,0.88
2714,0.9243,0.946
2715,0.3541,0.947
2716,0.6448,0.947
2717,0.9562,0.947
2718,0.9591,0.342
2719,0.3146,0.947
2720,0.827,0.947
2721,0.8391,0.947
2722,0.4335,0.947
2723,0.545,0.947
2724,0.1843,0.941
2725,0.0249,0.444
2726,0.7216,0.939
2727,0.6943,0.947
2729,0.8442,0.947
2730,0.6315,0.947
2731,0.8482,0.947
2732,0.9285,0.946
2733,0.8722,0.365
2734,0.7705,0.947
2735,0.8994,0.947
2736,0.7355,0.947
2737,0.6732,0.947
2738,0.698,0.369
2739,0.829,0.947
2740,0.0199,0.947
2741,0.6341,0.947
2742,0.9464,0.337
2743,0.9132,0.342
2744,0.8616,0.946
2745,0.6597,0.946
2746,0.5145,0.946
2747,0.0558,0.918
2748,0.7306,0.946
2749,0.9301,0.334
2750,0.7201,0.947
2751,0.6306,0.947
2752,0.942,0.947
2753,0.7282,0.947
2754,0.8755,0.947
2755,0.0763,0.946
2756,0.325,0.947
2757,0.8756,0.947
2758,0.809,0.947
2759,0.8288,0.947
2760,0.4685,0.357
2762,0.929,0.345
2763,0.8758,0.947
2764,0.2272,0.946
2765,0.4906,0.947
2766,0.377,0.946
2767,0.0787,0.921
2768,0.8636,0.947
2769,0.5523,0.946
2770,0.4152,0.329
2771,0.6658,0.924
2772,0.1157,0.947
2773,0.7094,0.947
2774,0.2912,0.947
2775,0.6127,0.947
2776,0.9365,0.337
2777,0.9098,0.943
2778,0.8386,0.929
2779,0.0172,0.921
2780,0.3761,0.947
2781,0.9621,0.947
2782,0.7263,0.946
2783,0.5804,0.947
2784,0.7339,0.947
2785,0.966,0.947
2786,0.9414,0.947
2787,0.5638,0.347
2788,0.7165,0.947
2789,0.7711,0.329
2790,0.8261,0.946
2791,0.2422,0.946
2792,0.8383,0.947
2793,0.4875,0.947
2794,0.94,0.947
2795,0.9325,0.344
2796,0.5382,0.947
2797,0.5599,0.947
2798,0.6332,0.945
2799,0.4824,0.943
2800,0.6212,0.946
2801,0.7936,0.947
2802,0.8861,0.337
2803,0.0261,0.939
2805,0.0806,0.942
2806,0.9142,0.947
2807,0.9162,0.947
2808,0.7595,0.947
2809,0.839,0.947
2810,0.9583,0.34
2811,0.9011,0.334
2812,0.9231,0.947
2813,0.6459,0.947
2814,0.3322,0.34
2815,0.8951,0.342
2816,0.3599,0.947
2817,0.9533,0.947
2818,0.1396,0.337
2819,0.8216,0.947
2820,0.7346,0.947
2821,0.9314,0.947
2822,0.0951,0.358
2823,0.9277,0.347
2824,0.36,0.947
2825,0.103,0.946
2826,0.5525,0.945
2827,0.8816,0.947
2828,0.7568,0.947
2829,0.8349,0.947
2830,0.9558,0.475
2831,0.816,0.947
2832,0.86,0.947
2833,0.6558,0.944
2834,0.5685,0.947
2835,0.5476,0.947
2836,0.7141,0.947
2837,0.1653,0.945
2838,0.9554,0.332
2839,0.967,0.327
2840,0.2687,0.947
2841,0.9119,0.947
2842,0.4118,0.947
2843,0.2221,0.93
2844,0.0818,0.947
2845,0.6755,0.947
2846,0.8113,0.929
2847,0.7753,0.947
2848,0.8867,0.947
2849,0.9646,0.947
2850,0.2439,0.943
2851,0.343,0.334
2852,0.6432,0.944
2853,0.4449,0.895
2854,0.9602,0.338
2855,0.9002,0.947
2856,0.8759,0.946
2857,0.6851,0.947
2858,0.4715,0.4
2859,0.3835,0.371
2860,0.0413,0.655
2861,0.4158,0.947
2862,0.8824,0.594
2863,0.3994,0.947
2864,0.9431,0.329
2865,0.7235,0.946
2866,0.0404,0.929
2867,0.7794,0.49
2868,0.5179,0.947
2869,0.6663,0.947
2870,0.6307,0.946
2871,0.2589,0.947
2872,0.9624,0.947
2873,0.7596,0.947
2874,0.8973,0.329
2875,0.8193,0.944
2876,0.8954,0.329
2878,0.5164,0.947
2879,0.3284,0.942
2880,0.6743,0.947
2881,0.1204,0.947
2882,0.8603,0.921
2883,0.9229,0.946
2884,0.7895,0.93
2885,0.8066,0.947
2886,0.9038,0.947
2887,0.2698,0.947
2888,0.9445,0.337
2889,0.9607,0.947
2890,0.8142,0.947
2891,0.7095,0.947
2892,0.1992,0.947
2893,0.9386,0.329
2894,0.0563,0.922
2895,0.0134,0.922
2896,0.3076,0.947
2897,0.9598,0.946
2898,0.9668,0.947
2899,0.1478,0.945
2900,0.8578,0.332
2901,0.3636,0.929
2902,0.3382,0.407
2903,0.0647,0.947
2904,0.2637,0.906
2905,0.5029,0.947
2906,0.0658,0.946
2907,0.5188,0.947
2908,0.807,0.372
2909,0.8603,0.947
2910,0.0398,0.681
2911,0.8126,0.947
2912,0.7448,0.341
2913,0.9756,0.947
2914,0.3649,0.947
2915,0.9337,0.947
2916,0.8651,0.947
2917,0.8672,0.946
2918,0.2418,0.692
2919,0.6957,0.345
2920,0.7381,0.947
2921,0.4438,0.947
2922,0.4843,0.947
2923,0.1793,0.947
2924,0.8489,0.329
2925,0.0837,0.947
2926,0.9108,0.947
2927,0.8912,0.947
2928,0.779,0.947
2929,0.1946,0.947
2930,0.8594,0.947
2931,0.3379,0.947
2932,0.9639,0.947
2933,0.3255,0.947
2934,0.6807,0.945
2935,0.7823,0.947
2936,0.7163,0.947
2937,0.7823,0.947
2938,0.8263,0.947
2939,0.0948,0.947
2940,0.7792,0.947
2941,0.0871,0.947
2942,0.6331,0.946
2943,0.5192,0.946
2944,0.1375,0.947
2945,0.5431,0.947
2946,0.8506,0.947
2947,0.911,0.947
2948,0.3811,0.947
2949,0.241,0.947
2950,0.3841,0.946
2952,0.3535,0.947
2953,0.1742,0.342
2954,0.8797,0.946
2955,0.226,0.917
2956,0.856,0.947
2957,0.6576,0.946
2958,0.5817,0.946
2959,0.7593,0.947
2960,0.7316,0.947
2961,0.0558,0.896
2962,0.7857,0.947
2963,0.979,0.341
2964,0.0763,0.939
2966,0.9124,0.945
2967,0.1888,0.391
2968,0.0816,0.685
2969,0.5916,0.369
2970,0.9641,0.352
2971,0.9434,0.947
2972,0.7569,0.947
2973,0.9594,0.339
2974,0.0738,0.93
2975,0.5049,0.947
2976,0.8979,0.947
2977,0.2405,0.947
2978,0.9644,0.947
2979,0.7926,0.945
2980,0.1528,0.947
2981,0.9721,0.342
2982,0.9415,0.339
2983,0.4979,0.947
2984,0.9521,0.947
2985,0.3199,0.374
2986,0.9769,0.333
2987,0.8902,0.329
2988,0.9501,0.947
2989,0.0137,0.364
2990,0.0813,0.944
2991,0.4315,0.919
2992,0.8941,0.947
2993,0.2388,0.93
2994,0.2871,0.947
2995,0.6603,0.947
2996,0.0557,0.917
2997,0.69,0.947
2998,0.3304,0.941
2999,0.1399,0.917
3000,0.0816,0.383
3001,0.6756,0.947
3002,0.4606,0.947
3003,0.7094,0.947
3004,0.8576,0.947
3005,0.9473,0.947
3006,0.3011,0.947
3007,0.5581,0.947
3008,0.4317,0.945
3009,0.9218,0.947
3010,0.9341,0.339
3011,0.8154,0.947
3012,0.7203,0.92
3013,0.6977,0.946
3014,0.0273,0.682
3015,0.7917,0.947
3016,0.4462,0.947
3017,0.4577,0.947
3018,0.8416,0.947
3019,0.9442,0.947
3020,0.8701,0.904
3021,0.3417,0.947
3022,0.6873,0.947
3023,0.1841,0.947
3024,0.2214,0.947
3025,0.9441,0.349
3026,0.3972,0.947
3027,0.5621,0.947
3028,0.2359,0.947
3029,0.7199,0.945
3030,0.9955,0.999
3031,0.1248,0.947
3032,0.9236,0.947
3033,0.9449,0.947
3034,0.3317,0.947
3035,0.4476,0.364
3036,0.7749,0.947
3037,0.7569,0.945
3038,0.5947,0.947
3039,0.7264,0.362
3040,0.0751,0.947
3041,0.1174,0.947
3042,0.5284,0.947
3043,0.0458,0.906
3044,0.5998,0.947
3045,0.9216,0.943
3046,0.8489,0.942
3047,0.7967,0.947
3048,0.9158,0.947
3049,0.2751,0.947
3050,0.3604,0.947
3051,0.1583,0.947
3052,0.9652,0.329
3053,0.5811,0.947
3054,0.9098,0.947
3055,0.2018,0.947
3056,0.8446,0.946
3057,0.1992,0.947
3058,0.5723,0.929
3059,0.8226,0.947
3060,0.5894,0.945
3061,0.7215,0.947
3062,0.1463,0.947
3063,0.2471,0.947
3064,0.8713,0.947
3065,0.0,0.361
3066,0.6897,0.947
3067,0.8062,0.947
3068,0.2626,0.947
3069,0.1269,0.947
3070,0.2122,0.337
3071,0.7431,0.332
3072,0.222,0.947
3073,0.911,0.947
3074,0.9132,0.327
3075,0.7803,0.947
3076,0.6111,0.946
3077,0.8763,0.947
3078,0.7616,0.929
3079,0.3129,0.947
3080,0.3631,0.947
3081,0.5938,0.947
3082,0.5082,0.929
3083,0.2051,0.92
3084,0.7924,0.947
3085,0.904,0.947
3086,0.6803,0.947
3087,0.8905,0.35
3088,0.7418,0.947
3089,0.8508,0.339
3090,0.4322,0.946
3091,0.9362,0.947
3092,0.0487,0.92
3093,0.8857,0.947
3094,0.6856,0.947
3095,0.2419,0.947
3096,0.8472,0.947
3097,0.939,0.947
3098,0.9756,0.342
3099,0.8073,0.947
3100,0.5666,0.947
3101,0.1231,0.944
3102,0.7451,0.946
3103,0.3984,0.947
3104,0.8891,0.947
3105,0.3765,0.947
3106,0.8558,0.947
3108,0.801,0.947
3109,0.6404,0.333
3110,0.2867,0.929
3111,0.4802,0.929
3112,0.1882,0.947
3113,0.9392,0.947
3114,0.8712,0.947
3115,0.7866,0.947
3116,0.1681,0.945
3117,0.6945,0.334
3118,0.9085,0.947
3119,0.87,0.946
3120,0.1512,0.947
3121,0.8999,0.947
3122,0.5896,0.947
3123,0.9506,0.947
3124,0.8916,0.947
3125,0.6044,0.947
3126,0.7622,0.947
3127,0.9354,0.947
3128,0.6798,0.947
3129,0.2616,0.945
3130,0.5199,0.947
3131,0.7836,0.947
3132,0.9037,0.947
3133,0.0154,0.616
3134,0.9769,0.947
3135,0.8612,0.946
3136,0.7333,0.947
3137,0.1528,0.947
3138,0.7904,0.947
3139,0.9313,0.947
3140,0.9557,0.947
3141,0.7486,0.947
3142,0.8743,0.947
3143,0.8972,0.947
3144,0.6446,0.404
3145,0.7302,0.947
3146,0.9148,0.947
3147,0.9299,0.947
3148,0.9067,0.947
3149,0.7368,0.947
3150,0.9514,0.947
3151,0.9371,0.947
3152,0.8993,0.367
3153,0.8969,0.947
